id,kod_pytania,partia_numer,partia_tytul,zagadnienie,wariant,numer_pytania,pytanie_skrot,pytanie,odpowiedz_wzorcowa,notatka,ma_odpowiedz,zrodlo_plik
11,WYM-B09,1,Wymagania przekrojowe,Wymagania przekrojowe,B,9,Podaj dwie konkretne zasady bezpieczeństwa przy doświadczeniu z użyciem…,Podaj dwie konkretne zasady bezpieczeństwa przy doświadczeniu z użyciem źródła napięcia i żarówki.,"1) Nie wolno dotykać gołymi ani mokrymi rękami odsłoniętych końcówek przewodów i zacisków znajdujących się pod napięciem — grozi to porażeniem prądem. 2) Przed jakąkolwiek zmianą połączeń w obwodzie (np. wymianą żarówki, przełożeniem przewodu) należy najpierw odłączyć źródło napięcia, żeby nie doszło do zwarcia obwodu ani przypadkowego dotknięcia elementu będącego pod napięciem. Pułapka: podanie ogólnikowej odpowiedzi typu „trzeba uważać” bez wskazania konkretnego zagrożenia i konkretnego działania, które temu zagrożeniu zapobiega.",pułapka: ogólnikowe „uważać” zamiast konkretów,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
12,WYM-C01,1,Wymagania przekrojowe,Wymagania przekrojowe,C,1,"Masz tabelę czasów spadania kulki z 5 wysokości. Oszacuj „na oko”, czy…","Masz tabelę czasów spadania kulki z 5 wysokości. Oszacuj „na oko”, czy zależność wygląda na proporcjonalną prostą, zanim policzysz dokładnie.","Żeby oszacować to „na oko”, sprawdzam, czy stosunek czasu do wysokości (t/h) jest w przybliżeniu taki sam dla wszystkich par danych z tabeli — gdyby tak było, zależność wyglądałaby na proporcjonalną. Fizycznie jednak czas spadania NIE jest proporcjonalny do wysokości (zależność jest bliższa h ~ t², a nie h ~ t), więc spodziewam się, że przy np. czterokrotnym wzroście wysokości czas wzrośnie wyraźnie mniej niż czterokrotnie (o czynnik bliski dwa, bo pierwiastek z czterech). Dobre oszacowanie „na oko” polega więc na porównaniu par wartości: jeśli wysokość rośnie dużo szybciej niż czas, to jest to sygnał, że zależność NIE jest proporcjonalnością prostą, tylko czymś innym (np. h~t²) — dopiero dokładne obliczenie (np. sprawdzenie stałości stosunku h/t²) to jednoznacznie potwierdzi.",,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
13,WYM-C02,1,Wymagania przekrojowe,Wymagania przekrojowe,C,2,"Zmierzyłeś czas 10 wahnięć wahadła stoperem z dokładnością 0,1 s i chcesz…","Zmierzyłeś czas 10 wahnięć wahadła stoperem z dokładnością 0,1 s i chcesz podać czas jednego wahnięcia. Połącz przeliczenie jednostek, zapis niepewności i zaokrąglenie wyniku.","Przykładowo zmierzony czas 10 wahnięć wynosi T₁₀ = (12,4 ± 0,1) s. Aby otrzymać czas jednego wahnięcia, dzielę tę wartość przez liczbę wahnięć: T = T₁₀ / 10 = 12,4 s : 10 = 1,24 s. Niepewność dzielę przez tę samą liczbę wahnięć: 0,1 s : 10 = 0,01 s. Ostateczny wynik zapisuję więc jako T = (1,24 ± 0,01) s — liczba cyfr podana w wyniku jest zgodna z rzędem wielkości niepewności (setne części sekundy), więc nie zaokrąglam dalej ani nie dopisuję kolejnych, nieuzasadnionych cyfr. To zadanie sprawdza jednocześnie trzy umiejętności: poprawne przeliczenie wyniku pomiaru zbiorczego na wynik jednostkowy (dzielenie przez liczbę powtórzeń), poprawne przeniesienie (przeskalowanie) niepewności przy tym samym dzieleniu oraz dopasowanie liczby cyfr znaczących końcowego wyniku do rzędu wielkości otrzymanej niepewności.",,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
14,WYM-C03,1,Wymagania przekrojowe,Wymagania przekrojowe,C,3,"Opisz plan doświadczenia (z zasadami bezpieczeństwa) sprawdzającego, który…","Opisz plan doświadczenia (z zasadami bezpieczeństwa) sprawdzającego, który z dwóch materiałów lepiej przewodzi ciepło — uwzględnij formę prezentacji wyniku (tabela czy wykres) i uzasadnij wybór.","Plan: biorę dwa pręty (lub płytki) o jednakowym kształcie i grubości, wykonane z różnych materiałów (np. metalu i drewna) — to zapewnia, że porównuję wyłącznie wpływ materiału, a nie kształtu. Jeden koniec każdego z nich umieszczam w tych samych warunkach w źródle ciepła (np. w naczyniu z gorącą wodą o tej samej temperaturze), a na drugim końcu przyklejam np. kawałek wosku lub umieszczam czujnik temperatury i mierzę czas, po jakim wosk się stopi albo temperatura wzrośnie o ustaloną wartość. Materiał, dla którego efekt pojawi się szybciej, przewodzi ciepło lepiej. Zasady bezpieczeństwa: nie dotykać gołymi rękami nagrzewających się końców prętów (ryzyko poparzenia) oraz zachować ostrożność przy samym źródle ciepła (nie zostawiać go bez nadzoru, trzymać z dala od materiałów łatwopalnych). Wynik najlepiej przedstawić w formie tabeli (materiał — czas do stopienia wosku / do wzrostu temperatury o daną wartość), bo porównuję tu tylko dwie pojedyncze wartości końcowe dla dwóch materiałów; gdybym natomiast rejestrował temperaturę w wielu kolejnych momentach czasu dla obu materiałów, lepszym wyborem byłby wykres temperatury od czasu z dwiema krzywymi, bo pokazuje on cały przebieg zmian, a nie tylko wynik końcowy. To pytanie sprawdza łącznie: planowanie doświadczenia porównawczego z kontrolowaniem zmiennych (jednakowy kształt i grubość), stosowanie konkretnych zasad bezpieczeństwa oraz świadomy dobór formy prezentacji danych do charakteru zebranych wyników.",,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
15,WYM-D01,1,Wymagania przekrojowe,Wymagania przekrojowe,D,1,Kolega zapisał wynik pomiaru temperatury jako „23 stopnie”. Czy to…,Kolega zapisał wynik pomiaru temperatury jako „23 stopnie”. Czy to poprawny zapis?,"Nie, to zapis niepoprawny. Po pierwsze, jednostka „stopnie” jest nieprecyzyjna — istnieje kilka skal temperatury (Celsjusza, Fahrenheita, Kelvina), więc trzeba podać konkretnie, o którą chodzi, np. °C. Po drugie, brakuje niepewności pomiaru — sama liczba „23” bez podanego zakresu niepewności nie mówi nic o tym, jak dokładny był pomiar. Poprawny zapis powinien wyglądać np. tak: (23,0 ± 0,5) °C. Żeby wytłumaczyć to koledze: zawsze trzeba podać zarówno precyzyjną jednostkę, jak i przedział niepewności wynikający z dokładności użytego termometru.",zadanie zawiera błąd — brak jednostki i niepewności,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
16,WYM-D02,1,Wymagania przekrojowe,Wymagania przekrojowe,D,2,"Koleżanka: „Na wykresie linia jest prosta, więc to proporcjonalność…","Koleżanka: „Na wykresie linia jest prosta, więc to proporcjonalność prosta” — prosta przecina oś Y w punkcie (0,5).","Tak, to błędne rozumowanie. Sama „prostość” linii na wykresie nie wystarcza, by mówić o proporcjonalności prostej — warunkiem koniecznym jest to, żeby prosta przechodziła przez punkt (0,0), czyli początek układu współrzędnych. Skoro ta prosta przecina oś Y w punkcie (0,5), a nie w (0,0), to mamy do czynienia z ogólną zależnością liniową postaci y = a·x + b (tu b = 5), a NIE z proporcjonalnością prostą. Żeby wytłumaczyć to koleżance: w proporcjonalności prostej przy x = 0 musi też wyjść y = 0 (np. brak czasu = brak przebytej drogi) — tutaj jednak przy x = 0 wartość y wynosi 5, więc zależność nie „zeruje się” razem z x, co wyklucza proporcjonalność prostą.",zadanie zawiera błąd — prosta nie przechodzi przez zero,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
17,RUC-A01,2,Ruch i siły,Ruch i siły,A,1,"Na czym polega względność ruchu? Podaj przykład, w którym ten sam obiekt…","Na czym polega względność ruchu? Podaj przykład, w którym ten sam obiekt jest jednocześnie „poruszający się"" i „nieruchomy"", zależnie od obserwatora.","Względność ruchu polega na tym, że to, czy ciało jest w spoczynku, czy się porusza (i z jaką prędkością), zależy od wybranego układu odniesienia - nie jest to cecha absolutna ciała. Przykład: pasażer siedzący w jadącym pociągu jest nieruchomy względem innego pasażera i wnętrza wagonu, ale porusza się względem osoby stojącej na peronie. Ten sam obiekt może więc być jednocześnie „poruszający się"" i „nieruchomy"" - różnica wynika wyłącznie z punktu odniesienia obserwatora, a nie z samego ruchu ciała.",,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
18,RUC-A02,2,Ruch i siły,Ruch i siły,A,2,Czym siła różni się od prędkości na poziomie idei? Dlaczego do pełnego…,Czym siła różni się od prędkości na poziomie idei? Dlaczego do pełnego opisu siły nie wystarczy sama liczba?,"Prędkość opisuje, jak szybko i w jakim kierunku zmienia się położenie ciała - to wielkość kinematyczna, mówiąca „co się dzieje"" z ruchem. Siła natomiast jest przyczyną zmiany ruchu (przyspieszenia) - to oddziaływanie jednego ciała na drugie. Sama liczba (wartość siły) nie wystarcza do jej pełnego opisu, ponieważ siła jest wielkością wektorową: trzeba podać także kierunek i zwrot działania oraz ciało, na które działa - bez tego nie wiadomo, jak wpłynie ona na ruch.",,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
19,RUC-B01,2,Ruch i siły,Ruch i siły,B,1,"Siedzisz w jadącym pociągu, patrzysz na sąsiada. Czy porusza się względem…","Siedzisz w jadącym pociągu, patrzysz na sąsiada. Czy porusza się względem Ciebie? A względem osoby na peronie?","Względem Ciebie sąsiad jest nieruchomy - oboje poruszacie się razem z pociągiem z tą samą prędkością, więc odległość między wami się nie zmienia. Względem osoby stojącej na peronie sąsiad porusza się - i to z prędkością równą prędkości pociągu. Pułapka polega na tym, że nie można odpowiedzieć „porusza się"" lub „nie porusza się"" bez wskazania układu odniesienia, bo ruch jest pojęciem względnym.",pułapka: brak podania układu odniesienia,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
20,RUC-B02,2,Ruch i siły,Ruch i siły,B,2,"Piłka rzucona pod kątem wraca do ziemi 10 m od miejsca rzutu, po torze 14…","Piłka rzucona pod kątem wraca do ziemi 10 m od miejsca rzutu, po torze 14 m. Podaj drogę i przemieszczenie.","Droga to długość całej pokonanej trasy, czyli tutaj 14 m (długość krzywoliniowego toru lotu piłki). Przemieszczenie to odległość w linii prostej między punktem początkowym a końcowym, czyli 10 m (bo piłka wylądowała 10 m od miejsca rzutu). Pułapka: droga jest zawsze co najmniej tak duża jak przemieszczenie, a tu wyraźnie widać różnicę, bo tor ruchu jest zakrzywiony (dłuższy niż odcinek prosty łączący start i metę).",pułapka: mylenie drogi z przemieszczeniem,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
21,RUC-B03,2,Ruch i siły,Ruch i siły,B,3,Zamień 2 h 15 min na sekundy.,Zamień 2 h 15 min na sekundy.,"2 h = 2 × 3600 s = 7200 s. 15 min = 15 × 60 s = 900 s. Razem: 7200 s + 900 s = 8100 s. Pułapka polega na tym, żeby przeliczyć na sekundy zarówno pełne godziny, jak i dodatkowe minuty osobno, a dopiero potem je zsumować - pominięcie minut lub przeliczenie tylko godzin da błędny wynik.",pułapka: pominięcie przeliczenia niepełnej jednostki,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
22,RUC-B04,2,Ruch i siły,Ruch i siły,B,4,Rowerzysta przejechał 15 km w 45 min. Oblicz prędkość w km/h i m/s.,Rowerzysta przejechał 15 km w 45 min. Oblicz prędkość w km/h i m/s.,"Najpierw zamieniamy czas na godziny: 45 min = 0,75 h. Prędkość: v = s/t = 15 km / 0,75 h = 20 km/h. Zamiana na m/s: 20 km/h = 20 000 m / 3600 s ≈ 5,56 m/s (czyli dzielimy wartość w km/h przez 3,6). Pułapka: nie wolno dzielić 15 km przez „45"" tak jakby to były godziny - trzeba najpierw zamienić minuty na godziny (lub godziny na minuty konsekwentnie), a przy przejściu km/h→m/s używać współczynnika 1000/3600 = 1/3,6, a nie mnożyć/dzielić przez same 1000 lub 3600 osobno.",pułapka: zamiana jednostek czasu i prędkości,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
23,RUC-B05,2,Ruch i siły,Ruch i siły,B,5,"Wytłumacz, dlaczego ruch ze stałą drogą w każdej sekundzie nazywamy…","Wytłumacz, dlaczego ruch ze stałą drogą w każdej sekundzie nazywamy jednostajnym, i podaj przykład ruchu, który taki nie jest.","Ruch nazywamy jednostajnym, gdy w każdej kolejnej, równej jednostce czasu (np. każdej sekundzie) ciało pokonuje dokładnie taką samą drogę - oznacza to, że jego prędkość jest stała (nie zmienia się w czasie). Przykładem ruchu, który taki nie jest, jest swobodny spadek ciała: w kolejnych sekundach ciało przebywa coraz większą drogę, ponieważ jego prędkość rośnie (jest to ruch przyspieszony, a nie jednostajny).",,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
24,RUC-B06,2,Ruch i siły,Ruch i siły,B,6,Wykres v(t): pozioma linia 4 m/s przez 5 s. Jaką drogę przebyto? Co…,Wykres v(t): pozioma linia 4 m/s przez 5 s. Jaką drogę przebyto? Co reprezentuje na wykresie?,"Droga to pole powierzchni pod wykresem v(t): s = v × t = 4 m/s × 5 s = 20 m. Pozioma linia na wykresie v(t) reprezentuje ruch jednostajny, czyli ruch ze stałą prędkością (wartość prędkości nie zmienia się w czasie). Pułapka: drogi nie odczytuje się bezpośrednio z osi (samo v = 4 to nie droga) - trzeba obliczyć pole figury pod wykresem, tu prostokąta o bokach 4 m/s i 5 s.",pułapka: mylenie odczytu z osi z polem pod wykresem,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
25,RUC-B07,2,Ruch i siły,Ruch i siły,B,7,Czym różni się ruch jednostajnie przyspieszony od opóźnionego pod względem…,Czym różni się ruch jednostajnie przyspieszony od opóźnionego pod względem prędkości w kolejnych sekundach?,"W ruchu jednostajnie przyspieszonym prędkość w kolejnych, równych odstępach czasu rośnie o taką samą wartość (przyrosty prędkości są stałe i dodatnie). W ruchu jednostajnie opóźnionym prędkość w kolejnych, równych odstępach czasu maleje o taką samą wartość (aż np. do zera). Różnica dotyczy więc znaku zmiany prędkości - w obu przypadkach zmiana prędkości w jednostce czasu jest stała co do wartości bezwzględnej, ale w jednym rośnie, a w drugim maleje.",,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
26,RUC-B08,2,Ruch i siły,Ruch i siły,B,8,Samochód zwiększył prędkość z 10 do 22 m/s w 4 s. Oblicz przyspieszenie z…,Samochód zwiększył prędkość z 10 do 22 m/s w 4 s. Oblicz przyspieszenie z jednostką.,"Przyspieszenie liczymy ze wzoru a = Δv/t, gdzie Δv to zmiana prędkości: Δv = 22 m/s - 10 m/s = 12 m/s. Zatem a = 12 m/s / 4 s = 3 m/s². Pułapka: trzeba użyć różnicy prędkości (Δv), a nie samej prędkości końcowej (błędne obliczenie 22/4 dałoby zły wynik); wynik zawsze musi mieć jednostkę m/s² (metr na sekundę do kwadratu), a nie samo m/s.",pułapka: mylenie Δv z prędkością końcową; brak jednostki m/s²,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
27,RUC-B09,2,Ruch i siły,Ruch i siły,B,9,(fakultatywne) Wykres v(t) rośnie liniowo od 2 do 10 m/s w 2 s. Odczytaj…,"(fakultatywne) Wykres v(t) rośnie liniowo od 2 do 10 m/s w 2 s. Odczytaj przyspieszenie, tłumacząc, co reprezentuje nachylenie.","Przyspieszenie to nachylenie (stromość) linii na wykresie v(t): a = Δv/Δt = (10 m/s - 2 m/s) / 2 s = 8/2 = 4 m/s². Nachylenie linii pokazuje, jak szybko zmienia się prędkość w czasie - im bardziej stroma linia, tym większe przyspieszenie. Pułapka: nachylenie to nie to samo co wartość prędkości odczytana z osi pionowej w danym momencie (np. sama liczba 10 m/s nie jest przyspieszeniem) - to stosunek zmiany prędkości do zmiany czasu.",pułapka: mylenie nachylenia z wartością prędkości,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
28,RUC-B10,2,Ruch i siły,Ruch i siły,B,10,"Na skrzynkę działa siła 10 N w prawo. Co musisz podać, by w pełni ją…","Na skrzynkę działa siła 10 N w prawo. Co musisz podać, by w pełni ją opisać?","Aby w pełni opisać siłę, trzeba podać: jej wartość (10 N), kierunek i zwrot działania (poziomo, w prawo) oraz ciało, na które działa (skrzynka) - a dla pełnego opisu fizycznego również punkt przyłożenia. Sama liczba „10 N"" nic nie mówi o tym, jak siła wpłynie na ruch, jeśli nie wiadomo, w którą stronę działa i na co konkretnie.",pułapka: pomijanie kierunku/zwrotu/ciała,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
29,RUC-B11,2,Ruch i siły,Ruch i siły,B,11,"Podaj sytuację, gdy na jedno ciało działają jednocześnie siła ciężkości…","Podaj sytuację, gdy na jedno ciało działają jednocześnie siła ciężkości, nacisku i oporu ruchu, i nazwij ich źródła.","Przykład: książka przesuwana po powierzchni stołu. Siła ciężkości - jej źródłem jest przyciąganie grawitacyjne Ziemi, działa pionowo w dół. Siła nacisku (reakcja podłoża, siła normalna) - jej źródłem jest stół, który podpiera książkę, działa pionowo w górę. Siła oporu ruchu (tarcie) - jej źródłem jest szorstkość zetkniętych powierzchni (książki i stołu), działa poziomo, przeciwnie do kierunku przesuwania książki.",,TAK,odpowiedzi-fizyka-ruch-i-sily.csv
