id,kod,przedmiot,partia_numer,partia_tytul,zagadnienie,wariant,numer_pytania,streszczenie_pytania,pytanie,odpowiedz_wzorcowa,notatka
11,CHEM-P1-B09,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,B,9,"Symbole Fe, K, Ag","Zapisz symbole chemiczne żelaza, potasu i srebra bez podglądania układu okresowego.","Symbol chemiczny żelaza to Fe (od łacińskiej nazwy ferrum), symbol potasu to K (od łacińskiej nazwy kalium), a symbol srebra to Ag (od łacińskiej nazwy argentum). Typowe pułapki, których trzeba unikać: potasu (K) nie wolno mylić z wapniem (Ca), żelaza (Fe) nie wolno mylić z fluorem (F), a srebra (Ag) nie wolno mylić z glinem (Al) — te pomyłki biorą się z kojarzenia symbolu z polską nazwą pierwiastka zamiast z jego łacińskim źródłosłowem, dlatego warto zapamiętać te trzy symbole właśnie jako wyjątki od „pierwszej litery polskiej nazwy”.","pułapka: mylenie K z Ca, Fe z F, Ag z Al"
12,CHEM-P1-B10,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,B,10,Obliczanie gęstości metalu (glin?),"Kostka metalu ma masę 54 g i objętość 20 cm³. Oblicz jej gęstość i sprawdź, czy to może być glin (gęstość ok. 2,7 g/cm³).","Gęstość obliczamy ze wzoru d = m / V, czyli dzielimy masę przez objętość, a nie odwrotnie. Podstawiając dane: d = 54 g / 20 cm³ = 2,7 g/cm³. Ponieważ otrzymana wartość dokładnie odpowiada podanej gęstości glinu (ok. 2,7 g/cm³), kostka rzeczywiście może być wykonana z glinu. Najczęstszy błąd (pułapka) to podzielenie objętości przez masę (20/54), co dałoby błędny wynik ok. 0,37 i prowadziłoby do fałszywego wniosku, że to nie glin — trzeba pamiętać, że gęstość zawsze liczymy jako masę na jednostkę objętości, czyli masa w liczniku, objętość w mianowniku.",pułapka: dzielenie objętości przez masę zamiast masy przez objętość
13,CHEM-P1-C01,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,C,1,"Rozpoznawanie wody, roztworu soli i alkoholu","Masz nieoznakowaną butelkę z bezbarwnym płynem. Zanim opiszesz dokładne kroki — oszacuj „na oko”, którą z trzech cieczy (woda, roztwór soli, alkohol) najłatwiej odróżnić od pozostałych dwóch i dlaczego. Potem zaproponuj pełny sposób sprawdzenia, korzystając z właściwości fizycznych, bez smakowania i wąchania na oślep.","Najłatwiej na pierwszy rzut oka odróżnić alkohol od pozostałych dwóch cieczy, ponieważ różni się od nich najwyraźniej pod względem właściwości fizycznych, takich jak lotność i palność — woda i roztwór soli są do siebie znacznie bardziej podobne (obie to w gruncie rzeczy woda, tylko z różną zawartością rozpuszczonej soli), więc odróżnienie ich od siebie wymaga dokładniejszego pomiaru. Pełny sposób sprawdzenia bez smakowania i wąchania na oślep: po pierwsze, można ostrożnie sprawdzić palność niewielkiej próbki z bezpiecznej odległości (np. zbliżając zapaloną zapałkę do niewielkiej ilości płynu w metalowym naczyniu) — alkohol się zapali, a woda i roztwór soli nie; po drugie, żeby odróżnić wodę od roztworu soli, trzeba odparować niewielką próbkę każdej cieczy w parowniczce — po odparowaniu wody nie zostanie żaden osad, a po odparowaniu roztworu soli zostanie biały, krystaliczny osad; dodatkowo można porównać gęstość obu próbek (roztwór soli będzie nieco gęstszy od czystej wody). Dzięki takiemu połączeniu testu na palność i testu na obecność osadu po odparowaniu można jednoznacznie rozróżnić wszystkie trzy ciecze bez smakowania czy bezpośredniego wąchania.",
14,CHEM-P1-C02,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,C,2,Rozdzielanie mieszaniny dwóch metali wg gęstości,"Masz próbkę 135 g złożoną z dwóch niestopionych metali o różnej gęstości. Wytłumacz, jak wykorzystałbyś jednocześnie znajomość gęstości i metod rozdzielania mieszanin, żeby je rozdzielić.","Ponieważ próbka to niestopione ze sobą kawałki (czyli fizyczna mieszanina dwóch różnych metali, a nie stop), można wykorzystać różnicę w ich gęstości jako podstawę do rozdzielenia metodą sedymentacji/flotacji: wystarczy wsypać całą próbkę do cieczy o gęstości pośredniej między gęstościami obu metali (czyli większej od gęstości lżejszego metalu, a mniejszej od gęstości cięższego) — wtedy lżejszy metal będzie unosił się lub opadał wolniej i zbierze się na górze albo zostanie łatwo oddzielony, a cięższy metal opadnie szybciej na dno naczynia. Po rozdzieleniu obu frakcji, dla każdej z nich osobno mierzymy masę i objętość (np. przez wyparcie wody) i obliczamy gęstość d = m/V, co pozwala jednoznacznie potwierdzić, z jakiego metalu składa się dana frakcja, porównując wynik z tabelaryczną gęstością znanych metali. To pytanie łączy więc dwie umiejętności naraz: użycie różnicy gęstości jako fizycznej podstawy metody rozdzielania mieszanin oraz obliczanie i interpretację gęstości do identyfikacji substancji.",
15,CHEM-P1-C03,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,C,3,Identyfikacja nieznanej substancji – kolejność testów,"Podano Ci nieznaną szarą substancję stałą. Zaproponuj kolejność testów (właściwości fizyczne → klasyfikacja metal/niemetal → symbol chemiczny), żeby dojść do tego, czym ona jest.","Najpierw należy zbadać podstawowe właściwości fizyczne próbki: obejrzeć, czy ma połysk, zmierzyć jej masę i objętość, by obliczyć gęstość, sprawdzić twardość (np. czy da się zarysować, czy jest krucha) oraz, jeśli to możliwe i bezpieczne, sprawdzić przewodnictwo elektryczne za pomocą prostego obwodu z żarówką. Na podstawie zebranych wyników (np. połysk, dobre przewodnictwo prądu, kowalność) klasyfikujemy substancję jako metal albo (przy braku połysku, złym przewodnictwie i kruchości) jako niemetal. Dopiero mając tę klasyfikację i zmierzoną gęstość, porównujemy wyniki z danymi tabelarycznymi znanych pierwiastków o podobnej gęstości i wyglądzie, żeby wskazać najbardziej prawdopodobny pierwiastek i podać jego symbol chemiczny — np. jeśli substancja ma połysk, dobrze przewodzi prąd i ma gęstość zbliżoną do 7,9 g/cm³, prawdopodobnie jest to żelazo (Fe). Taka kolejność jest logiczna, bo każdy kolejny krok opiera się na wynikach poprzedniego — bez zbadania właściwości fizycznych nie da się poprawnie sklasyfikować substancji, a bez klasyfikacji trudno zawęzić poszukiwania do konkretnego symbolu.",
16,CHEM-P1-D01,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,D,1,Błąd: olej „rozpuszcza się” w wodzie,"Kolega twierdzi: „Zmieszałem wodę z olejem, poczekałem i olej się rozpuścił w wodzie, bo ciecz stała się jednorodna”. Oceń to zdanie.","To zdanie zawiera błąd. Olej nie rozpuszcza się w wodzie — te dwie ciecze są ze sobą niemieszalne, więc po zmieszaniu i intensywnym wstrząśnięciu może na chwilę powstać mętna, tymczasowa mieszanina (emulsja), ale nie jest ona jednorodna, tylko niejednorodna, co widać po jej mętnym wyglądzie. Po odczekaniu chwili olej i woda ponownie się rozdzielą na dwie wyraźne warstwy — olej, jako lżejszy, uniesie się na powierzchnię wody — co jest dokładnym przeciwieństwem tego, co twierdzi kolega. Żeby to wytłumaczyć koledze: prawdziwe rozpuszczanie daje trwały, przezroczysty roztwór, który sam się nie rozdziela z czasem, a to, co on zaobserwował po zmieszaniu oleju z wodą, to tylko chwilowe, niestabilne wymieszanie dwóch niemieszalnych cieczy, a nie rozpuszczenie.",zadanie zawiera błąd
17,CHEM-P1-D02,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,D,2,Błąd: żelazo jako niemetal (rdzewienie),"Koleżanka mówi: „Żelazo jest niemetalem, bo rdzewieje i staje się kruche”. Oceń.","To zdanie zawiera błąd. Żelazo pozostaje metalem — ma wszystkie typowe cechy metalu: połysk, dobre przewodnictwo prądu i ciepła oraz kowalność, dopóki nie zajdzie reakcja chemiczna. Rdzewienie to reakcja chemiczna żelaza z tlenem i wilgocią z powietrza, w wyniku której powstaje zupełnie nowa substancja — tlenek żelaza (rdza) — o innych właściwościach niż czyste żelazo, w tym rzeczywiście krucha i pozbawiona połysku. Ale to, że produkt reakcji (rdza) jest kruchy, nie oznacza, że samo żelazo przestaje być metalem — rdza to inna substancja chemiczna, a nie żelazo w innej postaci fizycznej. Żeby wytłumaczyć to koledze/koleżance: kruchość rdzy świadczy o tym, że zaszła zmiana chemiczna i powstał nowy związek, a nie o tym, że pierwiastek żelazo zmienił swoją przynależność do grupy metali.",zadanie zawiera błąd
18,CHEM-P2-A01,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,A,1,Dlaczego atomy się łączą – elektrony walencyjne,"Wytłumacz koledze, dlaczego atomy w ogóle „chcą” się ze sobą łączyć — co to ma wspólnego z elektronami na ostatniej powłoce?","Atomy „dążą” do osiągnięcia trwałej konfiguracji elektronowej, czyli 8 elektronów na ostatniej powłoce (reguła oktetu; wyjątkiem są wodór i hel, dla których trwała liczba to 2). Większość atomów ma niepełną ostatnią powłokę, więc jest energetycznie mniej stabilna. Łącząc się z innymi atomami — oddając, przyjmując lub uwspólniając elektrony walencyjne — atom może „uzupełnić” swoją ostatnią powłokę do konfiguracji najbliższego gazu szlachetnego, co obniża energię układu i czyni go trwalszym. Dlatego to właśnie liczba elektronów walencyjnych decyduje, z kim i w jaki sposób dany atom się połączy.",
19,CHEM-P2-A02,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,A,2,"Pierwiastek, atom, cząsteczka – różnice","Na czym polega różnica między pierwiastkiem, atomem i cząsteczką — użyj własnych słów i przykładu.","Atom to najmniejsza cząstka danego pierwiastka, zbudowana z jądra (protony i neutrony) oraz krążących wokół niego elektronów — np. pojedynczy atom tlenu O. Pierwiastek to zbiór (rodzaj) atomów o tej samej liczbie atomowej, czyli tej samej liczbie protonów — np. „tlen” jako pierwiastek to wszystkie atomy o Z=8, niezależnie od tego, w jakiej formie akurat występują. Cząsteczka to natomiast trwałe połączenie co najmniej dwóch atomów wiązaniami chemicznymi — może to być cząsteczka jednego pierwiastka (np. O₂ — dwa połączone atomy tlenu) albo związku chemicznego (np. H₂O — atomy dwóch różnych pierwiastków, wodoru i tlenu). Krótko: pierwiastek to „rodzaj” atomu, atom to pojedyncza cząstka, a cząsteczka to zestaw atomów połączonych wiązaniem.",
20,CHEM-P2-B01,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,1,Atom wodoru vs helu – liczba atomowa,Czym różni się atom wodoru (Z=1) od atomu helu (Z=2)? Co dokładnie oznacza liczba atomowa?,"Liczba atomowa (Z) to liczba protonów w jądrze atomu — to ona definiuje dany pierwiastek (każdy pierwiastek ma swoją unikalną liczbę atomową), a w atomie obojętnym jest też równa liczbie elektronów. Atom wodoru ma Z=1, czyli 1 proton w jądrze i 1 elektron na jedynej powłoce. Atom helu ma Z=2, czyli 2 protony i 2 elektrony — hel ma więc o jeden proton i jeden elektron więcej niż wodór, a jego jedyna powłoka (K) jest już całkowicie zapełniona (2 elektrony = trwała konfiguracja), dlatego hel jest gazem szlachetnym, a wodór nie. Uwaga: liczba atomowa (Z) to NIE to samo co liczba masowa (A) — liczba masowa to suma protonów i neutronów, a liczba atomowa to wyłącznie liczba protonów.",pułapka: mylenie liczby atomowej z liczbą masową
21,CHEM-P2-B02,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,2,Okres i grupa – powłoki i elektrony walencyjne,Pierwiastek leży w 3. okresie i 1. grupie układu okresowego. Ile powłok elektronowych ma jego atom i ile elektronów jest na ostatniej powłoce?,"Numer okresu wskazuje liczbę powłok elektronowych — atom w 3. okresie ma 3 powłoki elektronowe. Numer grupy głównej wskazuje liczbę elektronów walencyjnych — atom w 1. grupie ma 1 elektron na ostatniej powłoce. Chodzi tu o sód (Na): 3 powłoki, 1 elektron walencyjny. Uwaga: numer okresu NIE mówi o liczbie elektronów walencyjnych (mówi o liczbie powłok), a numer grupy głównej NIE mówi o liczbie powłok (mówi o liczbie elektronów walencyjnych) — to dwie zupełnie różne informacje i łatwo je ze sobą pomylić.","pułapka: mylenie numeru okresu z liczbą elektronów walencyjnych, a numeru grupy z liczbą powłok"
22,CHEM-P2-B03,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,3,"Protony, neutrony, elektrony z Z i A","Atom pewnego pierwiastka ma liczbę atomową 17 i liczbę masową 35. Ile ma protonów, neutronów i elektronów?","Liczba protonów = liczba atomowa = 17. W atomie obojętnym liczba elektronów jest równa liczbie protonów, więc elektronów też jest 17. Liczbę neutronów obliczamy jako różnicę liczby masowej i liczby atomowej: 35 − 17 = 18 neutronów. Ten atom to chlor (Cl) — dokładnie izotop ³⁵Cl. Uwaga: liczbę neutronów zawsze wyliczamy przez ODEJMOWANIE (liczba masowa minus liczba atomowa), a nie przez dodawanie tych dwóch liczb.",pułapka: neutrony = liczba masowa − liczba atomowa; częsty błąd — dodawanie zamiast odejmowania
23,CHEM-P2-B04,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,4,"Izotopy wodoru: prot, deuter, tryt","Czym różnią się od siebie izotopy wodoru: prot, deuter i tryt? Podaj jedno zastosowanie dowolnego izotopu.","Prot, deuter i tryt to trzy odmiany (izotopy) tego samego pierwiastka — wodoru. Wszystkie mają tę samą liczbę protonów (1, bo to definiuje wodór) i tę samą liczbę elektronów (1), różnią się natomiast liczbą neutronów w jądrze: prot nie ma żadnego neutronu (0), deuter ma 1 neutron, a tryt ma 2 neutrony. Ta różnica w liczbie neutronów sprawia, że mają różną liczbę masową i różną masę atomową, choć chemicznie zachowują się bardzo podobnie. Zastosowanie: deuter wykorzystuje się do produkcji „ciężkiej wody” stosowanej m.in. jako moderator w niektórych reaktorach jądrowych, a tryt — jako promieniotwórcze źródło światła np. w podświetlanych wskazówkach zegarków lub w celownikach.",pułapka: mylenie izotopów z różnymi pierwiastkami
24,CHEM-P2-B05,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,5,Odczyt danych o wapniu z układu okresowego,"Korzystając z układu okresowego, odczytaj dla wapnia: symbol, liczbę atomową, przybliżoną masę atomową i czy to metal czy niemetal.","Wapń ma symbol Ca, liczbę atomową 20 (czyli 20 protonów w jądrze) i przybliżoną masę atomową ok. 40 u. Wapń jest metalem — należy do metali ziem alkalicznych (2. grupa układu okresowego), co widać też po jego położeniu po lewej stronie układu. Uwaga: liczba atomowa (20, zwykle mniejsza liczba przy symbolu) to co innego niż masa atomowa (ok. 40, uwzględniająca też neutrony) — nie wolno ich mylić, mimo że w tabeli występują blisko siebie.",pułapka: pomylenie masy atomowej z liczbą atomową
25,CHEM-P2-B06,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,6,"Fluor i chlor – ta sama grupa, podobne właściwości","Fluor (F) i chlor (Cl) są w tej samej grupie. Dlaczego mają podobne właściwości chemiczne, mimo że różnią się liczbą powłok?","Fluor i chlor należą do tej samej grupy (17. — fluorowce), co oznacza, że oba mają dokładnie taką samą liczbę elektronów walencyjnych — po 7 na ostatniej powłoce (fluor ma 2 powłoki, chlor 3, więc różnią się rozmiarem atomu, ale nie liczbą elektronów walencyjnych). To właśnie liczba elektronów na ostatniej powłoce decyduje o właściwościach chemicznych pierwiastka — oba dążą do przyjęcia jednego elektronu, by uzyskać trwały oktet, dlatego oba łatwo tworzą jony -1 i wykazują podobną reaktywność (choć z różną intensywnością, bo dodatkowa powłoka w chlorze wpływa na siłę przyciągania dodatkowego elektronu).",pułapka: odpowiedź bez odniesienia do liczby elektronów walencyjnych
26,CHEM-P2-B07,chemia,2,Wewnętrzna budowa materii,Wewnętrzna budowa materii,B,7,Zapis 2H vs H2 vs 2H2,Czym różni się zapis 2H od H₂? A czym różni się H₂ od 2H₂?,"2H oznacza dwa pojedyncze, niepołączone ze sobą atomy wodoru — współczynnik stechiometryczny (liczba postawiona przed symbolem/wzorem) mówi o liczbie osobnych cząstek. H₂ oznacza jedną cząsteczkę wodoru cząsteczkowego, złożoną z dwóch atomów połączonych wiązaniem — wskaźnik (indeks dolny) mówi o liczbie atomów danego pierwiastka wewnątrz jednej cząsteczki. Natomiast 2H₂ oznacza dwie cząsteczki wodoru cząsteczkowego, czyli łącznie 4 atomy wodoru (współczynnik przed wzorem mnoży całą cząsteczkę razem z jej wskaźnikami). Kluczowa różnica: współczynnik stechiometryczny mnoży całą cząsteczkę, a wskaźnik dotyczy tylko liczby atomów wewnątrz pojedynczej cząsteczki — to dwie zupełnie różne rzeczy, których nie wolno mylić.",pułapka: mylenie współczynnika stechiometrycznego ze wskaźnikiem w cząsteczce
